0,Knee,,Foot,,Hip
0.1,59.08655,,14.63368,,15.98534
0.2,106.53334,,15.82331,,0
0.3,57.72622,,83.69337,,8.52444
0.4,84.73368,,72.66551,,3.48557
0.5,42.83847,,35.34672,,9.64736
0.6,3.49178,,19.65052,,26.63074
0.7,2.77405,,46.69812,,42.14305
0.8,1.78841,,29.87942,,35.65311
0.9,97.44738,,20.68844,,19.94756
1,123.34781,,18.97382,,8.38416
1.1,30.40503,,87.70768,,5.30248
1.2,68.18994,,61.75259,,3.20631
1.3,40.65601,,29.78239,,9.36652
1.4,8.89903,,17.48823,,27.2014
1.5,2.05708,,50.79605,,41.131
1.6,4.4799,,28.43259,,35.07806
1.7,92.23318,,15.34019,,19.23897
1.8,96.42203,,18.94449,,5.58227
1.9,30.87196,,74.55108,,4.32376
2,81.31396,,36.84933,,3.20631
2.1,48.2767,,14.85925,,8.24389
2.2,11.43717,,11.25206,,34.07245
2.3,3.04311,,45.95404,,38.38866
2.4,7.72381,,25.59342,,28.48646
2.5,80.01071,,8.7724,,14.43267
2.6,110.91001,,5.00721,,1.39289
2.7,39.23633,,68.30688,,6.14207
2.8,73.23206,,44.3695,,3.48557
2.9,45.98177,,17.86497,,6.98231
3,7.09184,,12.404,,27.62958
3.1,11.80053,,43.56675,,43.3008
3.2,4.5698,,25.9366,,35.07806
3.3,68.09143,,12.2662,,16.83319
3.4,91.31691,,20.24241,,1.67168
3.5,42.45842,,83.39684,,7.26254
3.6,63.8684,,67.73339,,3.76489
3.7,37.06509,,29.23411,,10.34977
3.8,5.28943,,17.17048,,32.35067
3.9,6.55062,,51.18245,,38.38866
4,10.25757,,30.69125,,30.20222
4.1,102.18272,,9.06578,,13.72763
4.2,48.2767,,7.6862,,9.92827
4.3,21.77708,,71.34752,,4.18402
4.4,81.71544,,58.92385,,4.46352
4.5,26.12397,,26.46905,,13.44575
4.6,5.19943,,22.61221,,40.40868
4.7,5.01948,,57.32914,,41.131
4.8,14.53192,,28.40064,,28.77224
4.9,113.84238,,18.79798,,9.36652
5,64.55416,,32.33241,,20.79848
5.1,47.79797,,100.19117,,4.04429
5.2,84.93535,,50.9891,,6.70216
5.3,35.74678,,21.7664,,14.43267
5.4,12.9828,,18.65166,,40.69755
5.5,4.92952,,40.30209,,38.82121
5.6,12.89178,,18.79798,,26.77337
5.7,94.06921,,5.16135,,12.74135
5.8,63.8684,,13.29023,,4.88292
5.9,22.23822,,79.35812,,2.92712
6,57.04704,,42.98627,,8.38416
6.1,14.98822,,18.24303,,27.91514
6.2,23.2538,,18.68091,,43.44561
6.3,5.10945,,49.03395,,36.51624
6.4,13.62025,,28.1773,,20.37294
6.5,96.72948,,10.70795,,9.50693
6.6,32.83652,,13.62449,,4.60331
6.7,40.65601,,79.16641,,3.62522
6.8,70.16299,,58.75937,,8.94541
6.9,11.8914,,24.75553,,21.93405
7,15.26214,,16.93997,,43.01125
7.1,11.25556,,44.88313,,38.82121
7.2,55.69063,,24.50847,,24.20873
7.3,101.35697,,7.05566,,10.49031
7.4,38.85824,,3.88398,,3.20631
7.5,34.99458,,65.55053,,3.34593
7.6,42.83847,,35.6525,,8.52444
7.7,8.7181,,12.34886,,25.7753
7.8,2.5051,,14.15592,,40.26426
7.9,6.28016,,48.50261,,33.92887
8,77.61091,,23.09846,,21.93405
8.1,83.92758,,6.95094,,1.8111
8.2,34.61878,,30.17101,,7.40268
8.3,56.36851,,59.37725,,4.32376
8.4,38.76375,,23.89321,,10.49031
8.5,0.98304,,6.92478,,30.34532
8.6,7.18209,,21.70624,,45.91018
8.7,1.25139,,40.01931,,35.2218
8.8,92.43695,,16.76742,,17.96467
8.9,132.33121,,0.73525,,3.76489
9,33.96162,,19.00315,,6.28207
9.1,63.08548,,85.28546,,4.7431
9.2,26.40236,,42.19265,,8.24389
9.3,14.25829,,17.40148,,30.48843
9.4,8.0852,,20.48006,,40.26426
9.5,6.46045,,46.84749,,31.92065
9.6,91.8258,,21.52594,,16.12661
9.7,84.43129,,13.87589,,14.43267
9.8,25.38214,,30.36583,,4.32376
9.9,57.33803,,69.81856,,6.42208
10,22.88432,,29.81473,,11.3339
10.1,17.82404,,9.41358,,40.84201
10.2,4.39001,,20.24241,,43.15602
10.3,18.1908,,33.96379,,28.3436
10.4,112.89855,,12.2662,,14.00959
